id,name,type,aliases,desc,writing_count
405,婆罗门引,Ping,婆罗门|望月婆罗门引,《梅苑》词名《婆罗门》，段克己词名《望月婆罗门引》。按唐《教坊记》有《婆罗门》小曲，《宋史·乐志》有婆罗门舞队。《乐苑》曰：“《婆罗门》，商调曲也。开元中，西凉节度杨敬述进。”《理道要诀》云：“天宝十三载，改《婆罗门》为《霓裳羽衣》，属黄钟宫。”宋词调名疑出于此。,92
406,御街行,Ze,孤雁儿,柳永《乐章集》注“夹钟宫”。《古今词话》无名氏词有“听孤雁声嘹唳”句，更名《孤雁儿》。,111
407,韵令,Ping,,按唐《教坊记》有上韵、中韵、下韵三小韵，《韵令》调名疑出于此。宋周辉《清波杂志》云：“宣和间，衣著曰韵襭，果实曰韵梅，词曲曰韵令。”张世南《游宦纪闻》云：“宣和间，市井竞唱《韵令》。”,3
408,春声碎,Ze,,调见《翰墨全书》。取词前段结句三字为名。,5
409,凤楼春,Ping,,唐教坊曲名。,7
410,祝英台近,Ze,宝钗分|月底修箫谱|燕莺语|寒食词,元高拭词注“越调”。辛弃疾词有“宝钗分，桃叶渡”句，名《宝钗分》。张辑词有“趁月底重箫谱”句，名《月底修箫谱》。韩淲词有“燕莺语，溪岸点点飞锦”句，名《燕莺语》，又有“却又在他乡寒食”句，名《寒食词》。,482
411,四园竹,PingAndZe,,调见《片玉集》。,22
412,侧犯,Ze,,陈旸《乐书》云：“唐自天后末年，剑气入浑脱，始为犯声，明皇时，乐人孙处秀，善吹笛，好作犯声，时人因为新意而效之，因有犯调。”姜夔词注云：“唐人《乐书》，以宫犯羽者为侧犯。”此调创自周邦彦，调名或本于此。,37
413,离亭宴,Ze,离亭燕,调始张先，因词中有“随处是离亭别宴”句，取以为名。,47
414,阳关引,Ze,古阳关,此调始自宋寇准词，本檃括王维《阳关曲》而作，故名。晁补之词名《古阳关》。,10
415,一丛花,Ping,,调见《东坡词》，有欧阳修、晁补之、秦观、程垓词可校。,102
416,甘州令,Ze,,《碧鸡漫志》：仙吕调有《甘州令》。《乐章集·甘州令》注“亦仙吕调”。字句与《甘州子》、《甘州遍》、《八声甘州》不同。,2
417,山亭柳,Ping,,此调有平韵、仄韵两体，平韵者始自晏殊，仄韵者始自杜安世。,12
418,梦还京,Ze,,《乐章集》注“大石调”。,2
419,忆黄梅,Ze,,调见《梅苑》。,3
420,红林檎近,Ping,红林檎慢,蒋氏《十三调》注“双调”。,41
421,快活年近拍,Ze,,金词注“黄钟宫”。《太和正音谱》：“双调”。,1
422,金人捧露盘,Ping,铜人捧露盘|上平西|上丹霄|上西平|西平曲|上平南,一名《铜人捧露盘》。程垓词名《上平西》，张元干词名《上西平》，又名《西平曲》。刘昂词名《上平南》。金词注“越调”。,89
423,过涧歇,Ze,,《乐章集》注“中吕调”。,18
424,瑶阶草,Ze,,调见《书舟词》。,2
425,安公子,Ze,,唐教坊曲名。《碧鸡漫志》云：“据《理道要诀》，唐时《安公子》在太簇角。今已不传，其见于世者，中吕调有《安公子近》，般涉调有《安公子慢》。”　按柳永“长川波潋滟”词自注“中吕调”，“远岸收残雨”词自注“般涉调”，但蒋氏《十三调》谱采柳永“长川波潋滟”词，又注“正宫“。,36
426,应景乐,Ze,,词见《花草粹编》。,2
427,柳初新,Ze,,宋周密《天基圣节乐次》：第十三盏，觱篥起《柳初新慢》。《乐章集》注“大石调“。,15
428,斗百花,Ze,夏州,《乐章集》注“正宫“。晁补之词一名《夏州》。,21
429,皂罗特髻,Ze,,调见宋苏轼词，词中有“髻鬟初合”句，亦赋题也。,10
430,最高楼,PingZeSwitch,,此调押平声韵，或押仄声韵，但宋金元词押平韵者居多，其中有前段起句三字、第三句五字者，有前段起句三字、第三句六字者，有前段起句四字、第三句六字者，例于后段第一、二句俱间押仄韵，此为定格。或后段第一、二句三声叶韵，或第一句押平韵、第二句不押韵，或第一句不押韵、第二句仍押平韵，或第一、二句俱不押韵，均属变格。若全押仄韵，则惟无名氏一词，见之《梅苑》，宋金元无填此体者。,121
431,倒垂柳,Ze,,唐教坊曲名。,3
432,彩凤飞,Ze,彩凤舞,一作《彩凤舞》。,1
433,有有令,Ze,,调见《惜香乐府》。,4
434,拂霓裳,Ping,,唐教坊曲名。《碧鸡漫志》：“《拂霓裳》，般涉调。”《宋史·乐志》：“女弟子舞队第五有拂霓裳队。”,21
435,柳腰轻,Ze,,调见《乐章集》，注“中吕宫“。因词有“英英妙舞腰肢软，章台柳，昭阳燕”句，取以为名。,12
436,爪茉莉,Ze,,调见《花草粹编》，《乐章集》不载。,19
437,蓦山溪,Ze,上阳春|心月照云溪,《翰墨全书》名《上阳春》。金词注“大石调”。,401
438,千秋岁引,Ze,千秋岁令|千秋万岁,《高丽史·乐志》名《千秋岁令》。李冠词名《千秋万岁》。,47
439,早梅芳,Ze,早梅芳近,一名《早梅芳近》。,30
440,新荷叶,Ping,折新荷引|泛兰舟,蒋氏《九宫谱》作正宫引子。赵抃词名《折新荷引》，又因词中有“画桡稳，泛兰舟”句，或名《泛兰舟》，然与仄韵《泛兰舟》调迥别。,45
441,南州春色,Ping,,调见元陶豰《辍耕录》，因词中有“管取南州春色”句，取以为名。,1
442,长寿乐,Ze,,《宋史·乐志》：“仙吕调”。《乐章集》注“平调”。,4
443,迷仙引,Ze,,《乐章集》注“双调”。,9
444,促拍满路花,Ping,满路花|满园花|归去难|一枝花|喝马一枝花,此调有平韵、仄韵二体。平韵者始自柳永，《乐章集》注“仙吕调”。仄韵者始自秦观，或名《满路花》，无“促拍”二字。秦观词一名《满园花》，周邦彦词名《归去难》，袁去华词名《一枝花》，牛真人词名《喝马一枝花》。《太平乐府》注“南吕调”。,116
445,黄鹤引,Ze,,宋方勺《泊宅编》云：“先子晚官邓州，一日秋风起，思吴中山水，尝信笔作长短句，序云：‘阮田曹所制《黄鹤引》，爱其词调清高，寄为一阕，命稚子歌之，以侑尊焉。’”,4
446,洞仙歌,Ze,洞仙歌令|羽仙歌|洞仙词|洞中仙,唐教坊曲名。此调有令词，有慢词。令词自八十三字至九十三字，共三十五首。康与之词名《洞仙歌令》，潘牥词名《羽仙歌》，袁易词名《洞仙词》。《宋史·乐志》名《洞中仙》，注“林钟商调”，又“歇指调”。金词注“大石调”。慢词自一百十八字至一百二十六字，共五首。柳永《乐章集》“嘉景”词注“般涉调”，“乘兴閒泛兰舟”词注“仙吕调”，“佳景留心惯”词注“中吕调”。按张綖《诗馀图谱》，前段六句三韵，后段七句三韵，前后段第三句俱七字，第四句俱九字，前段结句六字，后段结句九字，此令词正体也，间有摊破、添字句、添韵者，皆从此出，谱中句读悉据之。,793
447,望云涯引,Ze,,调见《乐府雅词》。,5
448,泛兰舟,Ze,,调见《梅苑》。与前《新荷叶》别名《泛兰舟》平韵词不同。,2
449,踏歌,Ze,,调见《太平樵唱》词，又见《梅苑群贤词》，与唐人小令《踏歌行》不同。,8
