id,writing_id,allusion_index,allusion_key,sentence_index
525,27331,,,1
526,27413,,,1
527,27454,,,1
528,27454,,,2
529,27353,,,1
530,27353,,,1
531,27305,,,0
532,27368,,,3
533,27327,,,2
534,27300,,,0
535,27474,,,5
536,27472,,,3
537,27470,,,5
538,27483,,,4
539,27483,,,4
540,27478,,,5
541,27482,,,5
542,27467,,,4
543,27467,,,7
544,27484,,,6
545,27484,,,6
546,27484,,,2
547,27488,,,3
548,27485,,,18
549,27485,,,4
550,27485,,,4
551,27494,,,4
552,27499,,,14
553,27499,,,7
554,27499,,,1
555,27499,,,12
556,27499,,,23
557,27499,,,14
558,27489,,,10
559,27489,,,3
560,27489,,,11
561,27487,,,3
562,27492,,,0
563,27492,,,0
564,27492,,,1
565,27493,,,3
566,27493,,,14
567,27295,,,1
568,27297,,,1
569,31889,,,3
570,31887,,,3
571,31877,,,3
572,31881,,,0
573,31879,,,1
574,31885,,,3
575,31875,,,1
576,31857,,,1
577,31894,,,5
578,31894,,,5
579,31890,,,1
580,31898,,,14
581,31898,,,9
582,31898,,,14
583,31898,,,9
584,31898,,,15
585,31898,,,3
586,31898,,,3
587,31891,,,22
588,31891,,,17
589,31891,,,17
590,31897,,,5
591,31888,,,3
592,31888,,,0
593,8835,,,1
594,8835,,,1
595,8835,,,3
596,8816,,,3
597,8827,,,3
598,8819,,,0
599,8817,,,3
600,8797,,,1
601,8807,,,0
602,8807,,,1
603,8807,,,1
604,8789,,,0
605,8799,,,1
606,8804,,,1
607,8842,,,4
608,8839,,,8
609,8839,,,8
610,8840,,,4
611,8840,,,0
612,8840,,,5
613,8840,,,1
614,8840,,,1
615,8853,,,12
616,8844,,,2
617,8828,,,0
618,8848,,,3
619,8848,,,0
620,8849,,,0
621,8849,,,1
622,22153,,,0
623,22130,,,1
624,22163,,,0
625,22105,,,3
626,22137,,,0
627,22142,,,3
628,22139,,,3
629,22139,,,2
630,22140,,,0
631,22140,,,3
632,22141,,,2
633,22141,,,2
634,22156,,,3
635,22156,,,0
636,22167,,,2
637,22167,,,2
638,22124,,,3
639,22125,,,2
640,22125,,,3
641,22128,,,0
642,22128,,,3
643,22129,,,2
644,22146,,,2
645,22146,,,1
646,22113,,,2
647,22091,,,0
648,22087,,,0
649,22178,,,4
650,22178,,,6
651,22178,,,4
652,22195,,,4
653,22195,,,2
654,22192,,,5
655,22192,,,0
656,22192,,,7
657,22192,,,1
658,22201,,,3
659,22201,,,3
660,22187,,,2
661,22182,,,5
662,22199,,,3
663,22200,,,1
664,22196,,,3
665,22210,,,4
666,22209,,,7
667,22208,,,5
668,22181,,,1
669,22181,,,4
670,22260,,,7
671,22216,,,2
672,22216,,,2
673,22244,,,1
674,22240,,,10
675,22240,,,0
676,22239,,,11
677,33423,,,3
678,33361,,,1
679,33417,,,1
680,33417,,,1
681,33405,,,3
682,33398,,,1
683,33398,,,1
684,33395,,,2
685,33395,,,3
686,33395,,,2
687,33396,,,2
688,33411,,,0
689,33407,,,1
690,33407,,,1
691,33364,,,1
692,33387,,,0
693,33409,,,2
694,33409,,,3
695,33378,,,2
696,33378,,,3
697,33378,,,0
698,33418,,,1
699,33471,,,1
700,33471,,,1
701,33399,,,3
702,33401,,,1
703,33376,,,3
704,33373,,,2
705,33373,,,0
706,33351,,,1
707,33354,,,0
708,33358,,,1
709,33458,,,1
710,33459,,,10
711,33442,,,2
712,33442,,,7
713,33449,,,4
714,33449,,,0
715,33448,,,4
716,33448,,,4
717,33439,,,7
718,33466,,,5
719,33445,,,3
720,33440,,,8
721,33440,,,3
722,33465,,,2
723,33465,,,0
724,33432,,,7
725,33464,,,7
726,33464,,,7
727,33464,,,4
728,33457,,,2
729,33457,,,0
730,33457,,,0
731,33457,,,2
732,33453,,,2
733,33453,,,5
734,33460,,,23
735,33460,,,4
736,33460,,,7
737,33460,,,7
738,33434,,,5
739,33434,,,8
740,33434,,,5
741,33435,,,13
742,33435,,,13
743,33461,,,17
744,33461,,,17
745,33461,,,22
746,33461,,,3
747,33461,,,7
748,33461,,,3
749,33463,,,17
